type,year,title,authors,venue,status,link,bibtex,note,thumbnail
Conference,2025,SE-Jury - An LLM-as-Ensemble-Judge Metric for Narrowing the Gap with Human Evaluation in SE,"X. Zhou, K. Kim**, T. Zhang, M. Weyssow, L. Gomes, G. Yang, K. Liu, X. Xia, and D. Lo",IEEE/ACM International Conference on Automated Software Engineering (ASE),Just Accepted,https://arxiv.org/abs/2505.20854,"@INPROCEEDINGS{Xin2025ASE,
  author={Zhou, Xin and Kim**, Kisub and Zhang, Ting and Weyssow, Martin and Gomes, Luis F. and Yang, Guang and Liu, Kui and Xia, Xin and Lo, David},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  year={2025 [Just Accepted]},
  serires={ASE},
  title={SE-Jury - An LLM-as-Ensemble-Judge Metric for Narrowing the Gap with Human Evaluation in SE}
}",,data/publication/SE_Jury.png
Conference,2025,iCodeReviewer - Improving Secure Code Review with Mixture of Prompts,"Y. Peng, K. Kim**, L. Meng, and K. Liu",IEEE/ACM International Conference on Automated Software Engineering (ASE),Just Accepted,https://arxiv.org/abs/2510.12186,"@INPROCEEDINGS{Yun2025ASE,
  author={Peng, Yun and Kim**, Kisub and Meng, Linghan and Liu, Kui},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  year={2025 [Just Accepted]},
  serires={ASE},
  title={iCodeReviewer - Improving Secure Code Review with Mixture of Prompts}
}",,data/publication/iCodeReviewer.png
Conference,2025,Investigating sparsity of self-attention,"M. Garaj, K. Kim**, and A. Stockinger",European Conference on Artificial Intelligence,,https://ebooks.iospress.nl/DOI/10.3233/FAIA251302,"@INPROCEEDINGS{Martin2025ECAI,
  author={Garaj, Martin and Kim**, Kisub and Stockinger, Alexis},
  booktitle={European Conference on Artificial Intelligence},
  year={2025},
  serires={ECAI},
  title={Investigating sparsity of self-attention}
}",,data/publication/Investigating_Sparsity_of_Self_Attention.png
Conference,2025,RAML --- Toward Retrieval-augmented Localization of Malicious Payloads in Android Apps,"T. Sun, M. Alecci, Y. Song, X. Tang, K. Kim, J. Samhi, T. Bissyandé, and J. Klein",IEEE/ACM International Conference on Automated Software Engineering,Just Accepted,https://orbilu.uni.lu/bitstream/10993/65747/1/_ASE_2025__RAML__Toward_Retrieval_Augmented_Localization_of_Malicious_Payloads_in_Android_Apps.pdf,"@INPROCEEDINGS{Tiezhu2025ASE_NIER,
  author={Sun, Tiezhu and Alecci, Marco and Song, Yewei and Tang, Xunzhu and Kim, Kisub and Samhi, Jordan and Bissyandé, Tegawendé F. and Klein, Jacques},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering},
  year={2025 [Just Accepted]},
  serires={ASE},
  title={RAML --- Toward Retrieval-augmented Localization of Malicious Payloads in Android Apps}
}",,data/publication/RAML.png
Conference,2024,DataRecipe --- How to Cook the Data for CodeLLM?,"K. Kim, J. Kim, B. Park, D. Kim, C. Chong, Y. Wang, T. Sun, D. Tang, J. Klein, and T. Bissyandé",IEEE/ACM International Conference on Automated Software Engineering (ASE),"Selected for IEEE Software, Practitioner's digest",https://dl.acm.org/doi/10.1145/3691620.3695593,"@INPROCEEDINGS{Kim2024ASE,
  author={Kim, Kisub and Kim, Jonghoon and Park, Byungjo and Kim, Dongsun and Chong, Chun Yong and Wang, Yuan and Sun, Tiezhu and Tang, Daniel and Klein, Jacques and Bissyandé, Tegawendé F.},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  year={2024 [Selected for IEEE Software, Practitioner's digest]},
  serires={ASE},
  title={DataRecipe --- How to Cook the Data for CodeLLM?}
}",,data/publication/DataRecipe.png
Conference,2024,CodeAgent --- Autonomous Communicative Agents for Code Review,"D. Tang, K. Kim, Y. Song, C. Lothritz, B. Li, S. Ezzini, H. Tian, J. Klein, and T. Bissyandé",The Conference on Empirical Methods in Natural Language Processing (EMNLP),,https://arxiv.org/abs/2402.02172,"@INPROCEEDINGS{Xunzhu2024EMNLP,
  author={Tang, Daniel and Kim, Kisub and Song, Yewei and Lothritz, Cedric and Li, Bei and Ezzini, Saad and Tian, Haoye and Klein, Jacques and Bissyandé, Tegawendé F.},
  booktitle={The Conference on Empirical Methods in Natural Language Processing (EMNLP)},
  year={2024},
  serires={EMNLP},
  title={CodeAgent --- Autonomous Communicative Agents for Code Review}
}",,data/publication/CodeAgent.png
Conference,2024,"Out of Sight, Out of Mind - Better Automatic Vulnerability Repair by Broadening Input Ranges and Sources","X. Zhou, K. Kim**, B. Xu, D. Han, and D. Lo",IEEE/ACM International Conference on Software Engineering (ICSE),,https://arxiv.org/abs/2401.15459,"@INPROCEEDINGS{Xin2024ICSE,
  author={Zhou, Xin and Kim**, Kisub and Xu, Bowen and Han, Donggyun and Lo, David},
  booktitle={IEEE/ACM International Conference on Software Engineering (ICSE)},
  year={2024},
  serires={ICSE},
  title={Out of Sight, Out of Mind - Better Automatic Vulnerability Repair by Broadening Input Ranges and Sources}
}",,data/publication/Out_of_Sight_Out_of_Mind.png
Conference,2024,Curiosity-Driven Testing for Sequential Decision-Making Process,"J. He, Z. Yang, J. Shi, C. Yang, K. Kim, B. Xu, X. Zhou, and D. Lo",IEEE/ACM International Conference on Software Engineering (ICSE),,https://arxiv.org/abs/2509.02025,"@INPROCEEDINGS{Junda2024ICSE,
  author={He, Junda and Yang, Zhou and Shi, Jieke and Yang, Chengran and Kim, Kisub and Xu, Bowen and Zhou, Xin and Lo, David},
  booktitle={IEEE/ACM International Conference on Software Engineering (ICSE)},
  year={2024},
  serires={ICSE},
  title={Curiosity-Driven Testing for Sequential Decision-Making Process}
}",,data/publication/Curiosity_Driven_Testing_for_Sequential_Decision_Making_Process.png
Conference,2023,AutoConf - Automated Configuration of Unsupervised Learning Systems using Metamorphic Testing and Bayesian Optimization,"S. Lwin Khin, A. Göknil, E. Johannes Husom, S. Sen, Y. Naing Tun, and K. Kim**",IEEE/ACM International Conference on Automated Software Engineering (ASE),,https://ieeexplore.ieee.org/document/10298518/,"@INPROCEEDINGS{Shar2023ASE,
  author={Lwin Khin, Shar and Göknil, Arda and Johannes Husom, Erik and Sen, Sagar and Naing Tun, Yan and Kim**, Kisub},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  year={2023},
  serires={ASE},
  title={AutoConf - Automated Configuration of Unsupervised Learning Systems using Metamorphic Testing and Bayesian Optimization}
}",,data/publication/AutoConf.png
Conference,2023,The Devil is in the Tails - An Exploratory Study on Long-tailed Distributions in Software Engineering Datasets,"X. Zhou, K. Kim**, B. Xu, J. Liu, D. Han, and D. Lo",IEEE/ACM International Conference on Automated Software Engineering (ASE),,https://arxiv.org/abs/2309.03567,"@INPROCEEDINGS{Xin2023ASE,
  author={Zhou, Xin and Kim**, Kisub and Xu, Bowen and Liu, Jiakun and Han, Donggyun and Lo, David},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  year={2023},
  serires={ASE},
  title={The Devil is in the Tails - An Exploratory Study on Long-tailed Distributions in Software Engineering Datasets}
}",,data/publication/The_Devil_is_in the_Tails.png
Conference,2023,Are We Ready to Embrace Generative AI for Software Q&A?,"B. Xu, T. Nguyen, T. Le-Cong, T. Hoang, J. Liu, K. Kim, C. Gong, C. Niu, C. Wang, B. Le, and D. Lo",IEEE/ACM International Conference on Automated Software Engineering (ASE),,https://arxiv.org/abs/2307.09765,"@INPROCEEDINGS{Bowen2023ASE,
  author={Xu, Bowen and Nguyen, Thanh-Dat and Le-Cong, Thanh and Hoang, Thong and Liu, Jiakun and Kim, Kisub and Gong, Chen and Niu, Changan and Wang, Chenyu and Le, Bach and Lo, David},
  booktitle={IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  year={2023},
  serires={ASE},
  title={Are We Ready to Embrace Generative AI for Software Q&A?}
}",,
Conference,2023,On the Usage of Continual Learning for Out-of-Distribution Generalization in Pre-trained Language Models of Code,"M. Weyssow, Z. Xin, K. Kim**, D. Lo, and H. Sahraoui",The ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE),,https://arxiv.org/abs/2305.04106,"@INPROCEEDINGS{Martin2023FSE,
  author={Weyssow, Martin and Xin, Zhou and Kim**, Kisub and Lo, David and Sahraoui, Houari},
  booktitle={The ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE)},
  year={2023},
  serires={ESEC/FSE},
  title={On the Usage of Continual Learning for Out-of-Distribution Generalization in Pre-trained Language Models of Code}
}",,
Conference,2023,APISENS- Sentiment Scoring Tool for APIs with Crowd-Knowledge,"K. Kim, F. Thung, T. Zhang, I. Clairine Irsan, R. Widyasari, Z. Yang, and D. Lo",arXiv,,https://arxiv.org/abs/2304.05121,"@INPROCEEDINGS{Kim2023A,
  author={Kim, Kisub and Thung, Ferdian and Zhang, Ting and Clairine Irsan, Ivana and Widyasari, Ratnadira and Yang, Zhou and Lo, David},
  booktitle={arXiv},
  year={2023},
  serires={arXiv},
  title={APISENS- Sentiment Scoring Tool for APIs with Crowd-Knowledge}
}",,
Conference,2023,APIHarvest - Harvesting API Information from Various Online Sources,"F. Thung, K. Kim, T. Zhang, I. Clairine Irsan, R. Widyasari, Z. Yang, and D. Lo",arXiv,,https://arxiv.org/abs/2304.02514,"@INPROCEEDINGS{Ferdian2023A,
  author={Thung, Ferdian and Kim, Kisub and Zhang, Ting and Clairine Irsan, Ivana and Widyasari, Ratnadira and Yang, Zhou and Lo, David},
  booktitle={arXiv},
  year={2023},
  serires={arXiv},
  title={APIHarvest - Harvesting API Information from Various Online Sources}
}",,
Conference,2023,PICASO - Enhancing API Recommendations with Relevant Stack Overflow Posts,"I. Irsan, T. Zhang, F. Thung, K. Kim, and D. Lo",Proceedings of the 20th International Conference on Mining Software Repositories (MSR),,https://arxiv.org/abs/2303.12299,"@INPROCEEDINGS{Ivana2023MSR,
  author={Irsan, Ivana Clairine and Zhang, Ting and Thung, Ferdian and Kim, Kisub and Lo, David},
  booktitle={Proceedings of the 20th International Conference on Mining Software Repositories (MSR)},
  year={2023},
  serires={MSR},
  title={PICASO - Enhancing API Recommendations with Relevant Stack Overflow Posts}
}",,
Conference,2023,Generation-based Code Review Automation - How Far Are We?,"X. Zhou, K. Kim**, B. Xu, D. Han, J. He, and D. Lo",The 31st IEEE/ACM International Conference on Program Comprehension (ICPC),,https://arxiv.org/abs/2303.07221,"@INPROCEEDINGS{Xin2023ICPC,
  author={Zhou, Xin and Kim**, Kisub and Xu, Bowen and Han, DongGyun and He, Junda and Lo, David},
  booktitle={The 31st IEEE/ACM International Conference on Program Comprehension (ICPC)},
  year={2023},
  serires={ICPC},
  title={Generation-based Code Review Automation - How Far Are We?}
}",,
Conference,2023,Multi-modal API recommendation,"I. Irsan, T. Zhang, F. Thung, K. Kim, and D. Lo","Proceedings of the 30th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",,https://ieeexplore.ieee.org/document/10123664,"@INPROCEEDINGS{Ivana2023SANER,
  author={Irsan, Ivana Clairine and Zhang, Ting and Thung, Ferdian and Kim, Kisub and Lo, David},
  booktitle={Proceedings of the 30th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)},
  year={2023},
  serires={SANER},
  title={Multi-source API Recommendation}
}",,
Conference,2020,On the Efficiency of Test Suite based Program Repair - A Systematic Assessment of 16 Automated Repair Systems for Java Programs,"K. Liu, S. Wang, A. Koyuncu, T. Bissyandé, D. Kim, P. Wu, J. Klein, X. Mao, and Y. Traon",Proceedings of the 42th International Conference on Software Engineering (ICSE),,https://arxiv.org/abs/2008.00914,"@INPROCEEDINGS{Kui2020ICSE,
  DOI={https://doi.org/10.1145/3377811.3380338},
  author={Liu, Kui and Wang, Shangwen and Koyuncu, Anil and Bissyandé, Tegawendé F. and Kim, Dongsun and Wu, Peng and Klein, Jacques and Mao, Xiaoguang and Traon, Yves Le},
  booktitle={Proceedings of the 42th International Conference on Software Engineering (ICSE)},
  year={2020},
  serires={ICSE},
  title={On the Efficiency of Test Suite based Program Repair - A Systematic Assessment of 16 Automated Repair Systems for Java Programs}
}",,
Conference,2019,Learning to spot and refactor inconsistent method names,"K. Liu, D. Kim, T. Bissyandé, T. Kim, K. Kim, A. Koyuncu, S. Kim, and Y. Traon",Proceedings of the 41th International Conference on Software Engineering (ICSE),As one of the corresponding authors.,https://ieeexplore.ieee.org/document/8812134,"@INPROCEEDINGS{Kui2019ICSE,
  DOI={https://doi.org/10.1109/ICSE.2019.00019},
  author={Liu, Kui and Kim, Dongsun and Bissyandé, Tegawendé F. and Kim, Taeyoung and Kim, Kisub and Koyuncu, Anil and Kim, Suntae and Traon, Yves Le},
  booktitle={Proceedings of the 41th International Conference on Software Engineering (ICSE)},
  year={2019},
  note={As one of the corresponding authors.},
  title={Learning to spot and refactor inconsistent method names}
}",,
Conference,2018,FaCoY - A Code-to-Code Search Engine,"K. Kim, D. Kim, T. Bissyandé, E. Choi, L. Li, J. Klein, and Y. Traon",Proceedings of the 40th International Conference on Software Engineering (ICSE),,https://dl.acm.org/doi/10.1145/3180155.3180187,"@INPROCEEDINGS{Kisub2018ICSE,
  DOI={https://doi.org/10.1145/3180155.3180187},
  author={Kim, Kisub and Kim, Dongsun and Bissyandé, Tegawendé F. and Choi, Eunjong and Li, Li and Klein, Jacques and Traon, Yves Le},
  booktitle={Proceedings of the 40th International Conference on Software Engineering (ICSE)},
  year={2018},
  title={FaCoY - A Code-to-Code Search Engine}
}",,
Conference,2018,LSRepair - Live Search of Fix Ingredients for Automated Program Repair,"K. Liu, D. Kim, L. Li, A. Koyuncu, K. Kim, and T. Bissyandé",Proceedings of the 25th Asia-Pacific Software Engineering Conference (APSEC),,https://ieeexplore.ieee.org/document/8719533,"@INPROCEEDINGS{Kui2018APSEC,
  DOI={https://doi.org/10.1109/APSEC.2018.00085},
  author={Liu, Kui and Kim, Dongsun and Li, Li and Koyuncu, Anil and Kim, Kisub and Bissyandé, Tegawendé F.},
  booktitle={Proceedings of the 25th Asia-Pacific Software Engineering Conference (APSEC)},
  year={2018},
  title={LSRepair - Live Search of Fix Ingredients for Automated Program Repair}
}",,
Conference,2016,A Distributed Survey Automation Based on a Customizable Form Template,"J. Lee, K. Kim, and W. Jung",Proceedings of the 11th KIPS International Conference on Ubiquitous Information Technologies and Applications (CUTE),,https://link.springer.com/chapter/10.1007/978-981-10-3023-9_142,"@INPROCEEDINGS{Jaekwon2016CUTE,
  DOI={https://doi.org/10.1007/978-981-10-3023-9_142},
  author={Lee, Jaekwon and Kim, Kisub and Jung, Woosung},
  booktitle={Proceedings of the 11th KIPS International Conference on Ubiquitous Information Technologies and Applications (CUTE)},
  year={2016},
  title={A Distributed Survey Automation Based on a Customizable Form Template}
}",,
Conference,2016,GPES - Supporting Source Code Analysis by Extracting the Evolutionary History of Software Structure and Quality,"J. Lee, Y. Lee, K. Kim, J. Hong, and W. Jung",Proceedings of the 11th Asia Pacific International Conference on Information Science and Technology (APIC-IST),,https://koreascience.kr/article/JAKO201711656709750.page,"@INPROCEEDINGS{Jaekwon2016APIC,
  author={Lee, Jaekwon and Lee, Yonghyeon and Kim, Kisub and Hong, Jang-Eui and Jung, Woosung},
  booktitle={Proceedings of the 11th Asia Pacific International Conference on Information Science and Technology (APIC-IST)},
  year={2016},
  title={GPES - Supporting Source Code Analysis by Extracting the Evolutionary History of Software Structure and Quality}
}",,
Conference,2016,Identifying a Component Co-usability using Similarity Metric,"J. Lee, K. Kim, and W. Jung",Proceedings of the 18th Korea Conference on Software Engineering (KCSE),,#,"@INPROCEEDINGS{Jaekwon2016KCSE,
  author={Lee, Jaekwon and Kim, Kisub and Jung, Woosung},
  booktitle={Proceedings of the 18th Korea Conference on Software Engineering (KCSE)},
  year={2016},
  title={Identifying a Component Co-usability using Similarity Metric}
}",,
Conference,2015,Analyzing Developer’s Share of Code Based on Abstract Syntax Tree,"Y. Lee, J. Lee, K. Kim, and W. Jung",Proceedings of the Korean Society of Computer Information Conference (KSCI),,https://koreascience.kr/article/CFKO201523070247677.page,"@INPROCEEDINGS{Yonghyeon2015KSCI,
  author={Lee, Yonghyeon and Lee, Jaekwon and Kim, Kisub and Jung, Woosung},
  booktitle={Proceedings of the Korean Society of Computer Information Conference (KSCI)},
  year={2015},
  title={Analyzing Developer’s Share of Code Based on Abstract Syntax Tree}
}",,
